,Number,Name,Year,Month,Day,Hour,DateTime,Image Name
35,93131,Black-capped Chickadee,2025,2,2,10,2025-02-02 10:12:04,"raw_2025-02-02-10-12-40207(Black-cappedChickadee [(5, 296, 259, 448)]).jpg"
36,97401,Black-capped Chickadee,2025,2,17,14,2025-02-17 14:18:00,"raw_2025-02-17-14-18-051473(Black-cappedChickadee [(200, 323, 458, 488)]).jpg"
37,97999,Black-capped Chickadee,2025,2,19,16,2025-02-19 16:09:04,"raw_2025-02-19-16-09-432565(Black-cappedChickadee [(218, 343, 439, 572)]).jpg"
38,97337,Black-capped Chickadee,2025,2,17,12,2025-02-17 12:10:03,"raw_2025-02-17-12-10-38786(Black-cappedChickadee [(169, 304, 360, 536)]).jpg"
39,100166,Black-capped Chickadee,2025,3,3,12,2025-03-03 12:16:04,"raw_2025-03-03-12-16-48114(Black-cappedChickadee [(18, 310, 298, 448)]).jpg"
40,96665,Dark-eyed Junco,2025,2,15,9,2025-02-15 09:56:04,"raw_2025-02-15-09-56-42702(Dark-eyedJunco [(112, 302, 354, 454)]).jpg"
41,96968,Dark-eyed Junco,2025,2,16,9,2025-02-16 09:44:03,"raw_2025-02-16-09-44-38390(Dark-eyedJunco [(89, 291, 359, 458)]).jpg"
42,95858,Dark-eyed Junco,2025,2,12,15,2025-02-12 15:15:02,"raw_2025-02-12-15-15-233396(Dark-eyedJunco [(11, 341, 426, 592)]).jpg"
43,95861,Dark-eyed Junco,2025,2,12,15,2025-02-12 15:15:04,"raw_2025-02-12-15-15-473400(Dark-eyedJunco [(1, 323, 457, 625)]).jpg"
44,91478,Dark-eyed Junco,2025,1,22,15,2025-01-22 15:27:05,"raw_2025-01-22-15-27-513021(Dark-eyedJunco [(1, 260, 244, 500)]).jpg"
45,91829,Dark-eyed Junco,2025,1,24,14,2025-01-24 14:44:05,"raw_2025-01-24-14-44-53718(Dark-eyedJunco [(144, 270, 427, 448)]).jpg"
46,95959,Dark-eyed Junco,2025,2,13,10,2025-02-13 10:23:01,"raw_2025-02-13-10-23-10430(Dark-eyedJunco [(57, 278, 324, 504)]).jpg"
47,95889,Dark-eyed Junco,2025,2,12,15,2025-02-12 15:25:01,"raw_2025-02-12-15-25-133475(Dark-eyedJunco [(276, 329, 477, 607)]).jpg"
48,95909,Dark-eyed Junco,2025,2,13,8,2025-02-13 08:31:01,"raw_2025-02-13-08-31-1029(Dark-eyedJunco [(104, 276, 472, 592)]).jpg"
49,95880,Dark-eyed Junco,2025,2,12,15,2025-02-12 15:18:04,"raw_2025-02-12-15-18-413439(Dark-eyedJunco [(1, 320, 453, 627)]).jpg"
50,91055,Dark-eyed Junco,2025,1,22,10,2025-01-22 10:15:02,"raw_2025-01-22-10-15-22592(Dark-eyedJunco [(73, 258, 480, 564)]).jpg"
51,91381,Dark-eyed Junco,2025,1,22,14,2025-01-22 14:33:01,"raw_2025-01-22-14-33-192664(Dark-eyedJunco [(199, 247, 480, 561)]).jpg"
52,91270,Dark-eyed Junco,2025,1,22,13,2025-01-22 13:54:04,"raw_2025-01-22-13-54-462129(Dark-eyedJunco [(321, 353, 478, 594)]).jpg"
53,95877,Dark-eyed Junco,2025,2,12,15,2025-02-12 15:18:02,"raw_2025-02-12-15-18-233433(Dark-eyedJunco [(7, 318, 455, 625)]).jpg"
54,90832,Dark-eyed Junco,2025,1,20,8,2025-01-20 08:25:03,"raw_2025-01-20-08-25-3612(Dark-eyedJunco [(129, 321, 456, 610)]).jpg"
55,91224,Dark-eyed Junco,2025,1,22,13,2025-01-22 13:00:05,"raw_2025-01-22-13-00-511775(Dark-eyedJunco [(33, 294, 338, 424)]).jpg"
56,91042,Dark-eyed Junco,2025,1,22,10,2025-01-22 10:05:04,"raw_2025-01-22-10-05-41565(Dark-eyedJunco [(291, 270, 475, 463)]).jpg"
57,96671,Dark-eyed Junco,2025,2,15,10,2025-02-15 10:11:01,"raw_2025-02-15-10-11-11775(Dark-eyedJunco [(257, 244, 480, 508)]).jpg"
58,96754,Dark-eyed Junco,2025,2,15,11,2025-02-15 11:01:00,"raw_2025-02-15-11-01-061268(Dark-eyedJunco [(1, 299, 178, 592)]).jpg"
59,95850,Dark-eyed Junco,2025,2,12,15,2025-02-12 15:14:02,"raw_2025-02-12-15-14-243373(Dark-eyedJunco [(3, 335, 459, 627)]).jpg"
60,93126,House Finch,2025,2,2,10,2025-02-02 10:03:05,"raw_2025-02-02-10-03-53185(HouseFinch [(250, 272, 468, 505)]).jpg"
61,96702,House Finch,2025,2,15,10,2025-02-15 10:30:04,"raw_2025-02-15-10-30-46983(HouseFinch [(90, 275, 304, 456)]).jpg"
62,97508,House Finch,2025,2,18,11,2025-02-18 11:42:03,"raw_2025-02-18-11-42-37585(HouseFinch [(6, 297, 480, 588)]).jpg"
63,91639,House Finch,2025,1,23,11,2025-01-23 11:41:03,"raw_2025-01-23-11-41-33535(HouseFinch [(132, 332, 378, 477)]).jpg"
64,94802,House Finch,2025,2,9,9,2025-02-09 09:51:03,"raw_2025-02-09-09-51-38381(HouseFinch [(7, 318, 212, 491)]).jpg"
65,97716,House Finch,2025,2,19,8,2025-02-19 08:28:03,"raw_2025-02-19-08-28-3695(HouseFinch [(166, 294, 476, 582)]).jpg"
66,94670,House Finch,2025,2,8,15,2025-02-08 15:57:02,"raw_2025-02-08-15-57-261667(HouseFinch [(74, 266, 354, 438)]).jpg"
67,93320,House Finch,2025,2,2,12,2025-02-02 12:45:02,"raw_2025-02-02-12-45-241434(HouseFinch [(67, 310, 360, 591)]).jpg"
68,92413,House Finch,2025,1,28,14,2025-01-28 14:28:04,"raw_2025-01-28-14-28-49771(HouseFinch [(148, 247, 351, 437)]).jpg"
69,91580,House Finch,2025,1,23,9,2025-01-23 09:07:05,"raw_2025-01-23-09-07-56145(HouseFinch [(1, 266, 225, 507)]).jpg"
70,98684,House Finch,2025,2,22,12,2025-02-22 12:14:03,"raw_2025-02-22-12-14-321689(HouseFinch [(22, 313, 416, 620)]).jpg"
71,96728,House Finch,2025,2,15,10,2025-02-15 10:37:02,"raw_2025-02-15-10-37-241159(HouseFinch [(171, 321, 480, 499)]).jpg"
72,100383,House Finch,2025,3,9,16,2025-03-09 16:59:05,"raw_2025-03-09-16-59-541461(HouseFinch [(26, 301, 266, 523)]).jpg"
73,98773,House Finch,2025,2,22,12,2025-02-22 12:56:04,"raw_2025-02-22-12-56-432230(HouseFinch [(107, 302, 480, 584)]).jpg"
74,94180,House Finch,2025,2,5,14,2025-02-05 14:52:04,"raw_2025-02-05-14-52-491575(HouseFinch [(1, 228, 149, 444)]).jpg"
75,99655,House Finch,2025,2,27,11,2025-02-27 11:19:04,"raw_2025-02-27-11-19-47844(HouseFinch [(8, 237, 237, 637)]).jpg"
76,96071,House Finch,2025,2,13,12,2025-02-13 12:04:01,"raw_2025-02-13-12-04-151612(HouseFinch [(23, 333, 343, 474)]).jpg"
77,99321,House Finch,2025,2,25,10,2025-02-25 10:39:03,"raw_2025-02-25-10-39-32169(HouseFinch [(88, 301, 480, 602)]).jpg"
78,97364,House Finch,2025,2,17,13,2025-02-17 13:00:02,"raw_2025-02-17-13-00-22974(HouseFinch [(1, 324, 243, 486)]).jpg"
79,93306,House Finch,2025,2,2,12,2025-02-02 12:35:03,"raw_2025-02-02-12-35-341281(HouseFinch [(43, 327, 449, 561)]).jpg"
80,95393,House Sparrow,2025,2,12,9,2025-02-12 09:47:00,"raw_2025-02-12-09-47-04731(HouseSparrow [(70, 310, 306, 520)]).jpg"
81,97885,House Sparrow,2025,2,19,13,2025-02-19 13:51:04,"raw_2025-02-19-13-51-411839(HouseSparrow [(22, 370, 300, 567)]).jpg"
82,100211,House Sparrow,2025,3,5,14,2025-03-05 14:02:01,"raw_2025-03-05-14-02-1435(HouseSparrow [(79, 294, 480, 614)]).jpg"
83,90752,House Sparrow,2025,1,18,9,2025-01-18 09:43:01,"raw_2025-01-18-09-43-1882(HouseSparrow [(2, 188, 213, 518), (16, 310, 464, 636), (19, 235, 291, 616)]).jpg"
84,92439,House Sparrow,2025,1,29,9,2025-01-29 09:15:02,"raw_2025-01-29-09-15-24168(HouseSparrow [(228, 314, 474, 582)]).jpg"
85,93925,House Sparrow,2025,2,5,10,2025-02-05 10:09:01,"raw_2025-02-05-10-09-19137(HouseSparrow [(1, 270, 208, 639)]).jpg"
86,97038,House Sparrow,2025,2,16,11,2025-02-16 11:20:01,"raw_2025-02-16-11-20-13839(HouseSparrow [(1, 353, 445, 632)]).jpg"
87,97082,House Sparrow,2025,2,16,11,2025-02-16 11:58:03,"raw_2025-02-16-11-58-311208(HouseSparrow [(150, 303, 470, 520)]).jpg"
88,91887,House Sparrow,2025,1,25,10,2025-01-25 10:31:03,"raw_2025-01-25-10-31-32321(HouseSparrow [(55, 242, 228, 438)]).jpg"
89,97839,House Sparrow,2025,2,19,11,2025-02-19 11:53:04,"raw_2025-02-19-11-53-421183(HouseSparrow [(1, 277, 480, 608)]).jpg"
90,93922,House Sparrow,2025,2,5,9,2025-02-05 09:59:03,"raw_2025-02-05-09-59-30129(HouseSparrow [(22, 268, 297, 428)]).jpg"
91,91655,House Sparrow,2025,1,23,12,2025-01-23 12:07:03,"raw_2025-01-23-12-07-36651(HouseSparrow [(3, 222, 354, 628)]).jpg"
92,95549,House Sparrow,2025,2,12,11,2025-02-12 11:33:01,"raw_2025-02-12-11-33-191833(HouseSparrow [(1, 294, 303, 607)]).jpg"
93,92670,House Sparrow,2025,1,31,9,2025-01-31 09:11:02,"raw_2025-01-31-09-11-24167(HouseSparrow [(1, 169, 430, 540)]).jpg"
94,99242,House Sparrow,2025,2,24,14,2025-02-24 14:39:00,"raw_2025-02-24-14-39-051697(HouseSparrow [(188, 310, 396, 562)]).jpg"
95,97289,House Sparrow,2025,2,17,10,2025-02-17 10:22:04,"raw_2025-02-17-10-22-47303(HouseSparrow [(209, 282, 471, 549)]).jpg"
96,98912,House Sparrow,2025,2,23,8,2025-02-23 08:17:05,"raw_2025-02-23-08-17-546(HouseSparrow [(5, 251, 174, 600)]).jpg"
97,93794,House Sparrow,2025,2,4,14,2025-02-04 14:44:02,"raw_2025-02-04-14-44-231628(HouseSparrow [(1, 346, 255, 498)]).jpg"
98,97521,House Sparrow,2025,2,18,11,2025-02-18 11:51:00,"raw_2025-02-18-11-51-05670(HouseSparrow [(106, 271, 480, 640)]).jpg"
99,100228,House Sparrow,2025,3,7,11,2025-03-07 11:48:00,"raw_2025-03-07-11-48-0752(HouseSparrow [(127, 292, 472, 633)]).jpg"
100,99142,Mourning Dove,2025,2,24,10,2025-02-24 10:57:03,"raw_2025-02-24-10-57-33642(MourningDove [(1, 201, 337, 481)]).jpg"
101,98415,Mourning Dove,2025,2,22,8,2025-02-22 08:16:05,"raw_2025-02-22-08-16-53117(MourningDove [(14, 217, 480, 497)]).jpg"
102,98140,Mourning Dove,2025,2,20,12,2025-02-20 12:56:01,"raw_2025-02-20-12-56-16634(MourningDove [(151, 97, 476, 632)]).jpg"
103,98413,Mourning Dove,2025,2,22,8,2025-02-22 08:16:04,"raw_2025-02-22-08-16-41110(MourningDove [(3, 222, 479, 524)]).jpg"
104,98183,Mourning Dove,2025,2,20,13,2025-02-20 13:31:04,"raw_2025-02-20-13-31-49966(MourningDove [(200, 214, 472, 524)]).jpg"
105,99287,Mourning Dove,2025,2,24,16,2025-02-24 16:08:04,"raw_2025-02-24-16-08-451913(MourningDove [(1, 157, 477, 622)]).jpg"
106,96534,Mourning Dove,2025,2,14,16,2025-02-14 16:02:04,"raw_2025-02-14-16-02-411828(MourningDove [(1, 159, 444, 476)]).jpg"
107,96541,Mourning Dove,2025,2,14,16,2025-02-14 16:04:01,"raw_2025-02-14-16-04-111839(MourningDove [(8, 219, 462, 481)]).jpg"
108,91723,Mourning Dove,2025,1,23,13,2025-01-23 13:22:05,"raw_2025-01-23-13-22-521138(MourningDove [(4, 205, 430, 523)]).jpg"
109,92485,Mourning Dove,2025,1,29,10,2025-01-29 10:14:00,"raw_2025-01-29-10-14-00469(MourningDove [(1, 227, 138, 484)]).jpg"
110,96530,Mourning Dove,2025,2,14,16,2025-02-14 16:01:05,"raw_2025-02-14-16-01-561823(MourningDove [(1, 229, 476, 517)]).jpg"
111,93066,Mourning Dove,2025,2,1,15,2025-02-01 15:48:04,"raw_2025-02-01-15-48-451560(MourningDove [(12, 307, 426, 633)]).jpg"
112,96536,Mourning Dove,2025,2,14,16,2025-02-14 16:02:05,"raw_2025-02-14-16-02-521830(MourningDove [(1, 197, 300, 539)]).jpg"
113,93796,Mourning Dove,2025,2,4,14,2025-02-04 14:46:04,"raw_2025-02-04-14-46-481649(MourningDove [(104, 215, 472, 596)]).jpg"
114,94405,Mourning Dove,2025,2,8,12,2025-02-08 12:37:02,"raw_2025-02-08-12-37-23155(MourningDove [(20, 181, 439, 629)]).jpg"
115,92663,Mourning Dove,2025,1,31,8,2025-01-31 08:54:05,"raw_2025-01-31-08-54-50150(MourningDove [(1, 67, 480, 539)]).jpg"
116,91297,Mourning Dove,2025,1,22,14,2025-01-22 14:02:01,"raw_2025-01-22-14-02-102248(MourningDove [(1, 23, 480, 602)]).jpg"
117,96531,Mourning Dove,2025,2,14,16,2025-02-14 16:02:02,"raw_2025-02-14-16-02-231825(MourningDove [(164, 247, 474, 508)]).jpg"
118,99274,Mourning Dove,2025,2,24,16,2025-02-24 16:01:03,"raw_2025-02-24-16-01-301878(MourningDove [(79, 126, 473, 504)]).jpg"
119,94228,Mourning Dove,2025,2,5,16,2025-02-05 16:13:05,"raw_2025-02-05-16-13-541760(MourningDove [(1, 189, 430, 640)]).jpg"
120,96842,Northern Cardinal,2025,2,15,12,2025-02-15 12:39:00,"raw_2025-02-15-12-39-001636(NorthernCardinal [(111, 129, 480, 552)]).jpg"
121,95762,Northern Cardinal,2025,2,12,14,2025-02-12 14:07:00,"raw_2025-02-12-14-07-023104(NorthernCardinal [(10, 168, 410, 523)]).jpg"
122,98371,Northern Cardinal,2025,2,21,14,2025-02-21 14:47:03,"raw_2025-02-21-14-47-32925(NorthernCardinal [(18, 187, 437, 480)]).jpg"
123,95811,Northern Cardinal,2025,2,12,14,2025-02-12 14:18:00,"raw_2025-02-12-14-18-093220(NorthernCardinal [(267, 32, 479, 630)]).jpg"
124,100176,Northern Cardinal,2025,3,3,15,2025-03-03 15:03:02,"raw_2025-03-03-15-03-29165(NorthernCardinal [(1, 284, 180, 500)]).jpg"
125,93852,Northern Cardinal,2025,2,4,15,2025-02-04 15:18:04,"raw_2025-02-04-15-18-471924(NorthernCardinal [(272, 227, 475, 474)]).jpg"
126,91977,Northern Cardinal,2025,1,25,15,2025-01-25 15:08:04,"raw_2025-01-25-15-08-441233(NorthernCardinal [(92, 249, 352, 425)]).jpg"
127,92293,Northern Cardinal,2025,1,27,14,2025-01-27 14:42:00,"raw_2025-01-27-14-42-071594(NorthernCardinal [(160, 248, 465, 563)]).jpg"
128,95776,Northern Cardinal,2025,2,12,14,2025-02-12 14:09:05,"raw_2025-02-12-14-09-593136(NorthernCardinal [(166, 273, 395, 466)]).jpg"
129,97965,Northern Cardinal,2025,2,19,15,2025-02-19 15:51:01,"raw_2025-02-19-15-51-162397(NorthernCardinal [(38, 224, 445, 573)]).jpg"
130,97603,Northern Cardinal,2025,2,18,13,2025-02-18 13:37:05,"raw_2025-02-18-13-37-561209(NorthernCardinal [(243, 258, 478, 497)]).jpg"
131,98907,Northern Cardinal,2025,2,22,16,2025-02-22 16:12:02,"raw_2025-02-22-16-12-214175(NorthernCardinal [(67, 168, 474, 640)]).jpg"
132,97643,Northern Cardinal,2025,2,18,14,2025-02-18 14:00:01,"raw_2025-02-18-14-00-131477(NorthernCardinal [(172, 115, 477, 625)]).jpg"
133,95770,Northern Cardinal,2025,2,12,14,2025-02-12 14:08:04,"raw_2025-02-12-14-08-493122(NorthernCardinal [(200, 207, 392, 451)]).jpg"
134,97602,Northern Cardinal,2025,2,18,13,2025-02-18 13:37:04,"raw_2025-02-18-13-37-481204(NorthernCardinal [(245, 246, 477, 498)]).jpg"
135,100052,Northern Cardinal,2025,3,2,10,2025-03-02 10:04:05,"raw_2025-03-02-10-04-5499(NorthernCardinal [(35, 141, 468, 611)]).jpg"
136,97672,Northern Cardinal,2025,2,18,14,2025-02-18 14:18:03,"raw_2025-02-18-14-18-381639(NorthernCardinal [(166, 216, 475, 511)]).jpg"
137,95530,Northern Cardinal,2025,2,12,11,2025-02-12 11:19:03,"raw_2025-02-12-11-19-341602(NorthernCardinal [(109, 213, 478, 515), (43, 143, 480, 578)]).jpg"
138,96618,Northern Cardinal,2025,2,15,9,2025-02-15 09:02:02,"raw_2025-02-15-09-02-27449(NorthernCardinal [(100, 258, 314, 433)]).jpg"
139,93561,Northern Cardinal,2025,2,3,14,2025-02-03 14:15:03,"raw_2025-02-03-14-15-31381(NorthernCardinal [(14, 165, 240, 611)]).jpg"
140,90989,Purple Finch,2025,1,21,12,2025-01-21 12:32:01,"raw_2025-01-21-12-32-12309(PurpleFinch [(276, 276, 478, 522)]).jpg"
141,96696,Purple Finch,2025,2,15,10,2025-02-15 10:29:03,"raw_2025-02-15-10-29-38958(PurpleFinch [(262, 232, 480, 469)]).jpg"
142,90980,Purple Finch,2025,1,21,12,2025-01-21 12:29:01,"raw_2025-01-21-12-29-14274(PurpleFinch [(214, 255, 476, 540)]).jpg"
143,92435,Purple Finch,2025,1,29,8,2025-01-29 08:46:05,"raw_2025-01-29-08-46-5083(PurpleFinch [(244, 201, 476, 633)]).jpg"
144,96226,Purple Finch,2025,2,14,10,2025-02-14 10:34:00,"raw_2025-02-14-10-34-05223(PurpleFinch [(1, 255, 208, 536)]).jpg"
145,95482,Purple Finch,2025,2,12,10,2025-02-12 10:42:04,"raw_2025-02-12-10-42-411367(PurpleFinch [(1, 291, 326, 617)]).jpg"
146,96985,Purple Finch,2025,2,16,9,2025-02-16 09:48:03,"raw_2025-02-16-09-48-35442(PurpleFinch [(1, 330, 477, 637)]).jpg"
147,97696,Purple Finch,2025,2,18,16,2025-02-18 16:00:04,"raw_2025-02-18-16-00-422099(PurpleFinch [(19, 335, 277, 582)]).jpg"
148,94341,Purple Finch,2025,2,6,12,2025-02-06 12:22:05,"raw_2025-02-06-12-22-50720(PurpleFinch [(66, 261, 440, 619)]).jpg"
149,95570,Purple Finch,2025,2,12,11,2025-02-12 11:54:00,"raw_2025-02-12-11-54-081967(PurpleFinch [(1, 269, 390, 599), (196, 261, 468, 505)]).jpg"
150,95075,Purple Finch,2025,2,10,15,2025-02-10 15:43:02,"raw_2025-02-10-15-43-201207(PurpleFinch [(114, 201, 361, 500), (78, 209, 429, 567)]).jpg"
151,96303,Purple Finch,2025,2,14,12,2025-02-14 12:23:05,"raw_2025-02-14-12-23-53512(PurpleFinch [(30, 324, 203, 509)]).jpg"
152,95481,Purple Finch,2025,2,12,10,2025-02-12 10:42:03,"raw_2025-02-12-10-42-311361(PurpleFinch [(3, 310, 303, 610)]).jpg"
153,94344,Purple Finch,2025,2,6,12,2025-02-06 12:25:05,"raw_2025-02-06-12-25-56821(PurpleFinch [(1, 287, 277, 547)]).jpg"
154,95478,Purple Finch,2025,2,12,10,2025-02-12 10:39:05,"raw_2025-02-12-10-39-561317(PurpleFinch [(1, 313, 217, 585)]).jpg"
155,99543,Purple Finch,2025,2,26,13,2025-02-26 13:06:00,"raw_2025-02-26-13-06-021057(PurpleFinch [(229, 186, 477, 619)]).jpg"
156,96724,Purple Finch,2025,2,15,10,2025-02-15 10:36:04,"raw_2025-02-15-10-36-441149(PurpleFinch [(46, 324, 320, 499)]).jpg"
157,95411,Purple Finch,2025,2,12,9,2025-02-12 09:55:01,"raw_2025-02-12-09-55-12847(PurpleFinch [(18, 336, 285, 490)]).jpg"
158,98058,Purple Finch,2025,2,20,8,2025-02-20 08:15:04,"raw_2025-02-20-08-15-4891(PurpleFinch [(32, 232, 450, 625)]).jpg"
159,98612,Purple Finch,2025,2,22,11,2025-02-22 11:26:04,"raw_2025-02-22-11-26-451279(PurpleFinch [(1, 254, 212, 532)]).jpg"
